feature,category,fraud_rate
card1,1342,0.02195306585919758
card1,1444,0.01985743380855397
card1,1675,0.037430167597765365
card1,1724,0.03254626675175495
card1,1893,0.04542701393095094
card1,1939,0.018867924528301886
card1,1974,0.0043997485857950975
card1,2256,0.17498138495904692
card1,2392,0.012591119946984758
card1,2455,0.049471928849360754
card1,2616,0.07120181405895691
card1,2772,0.01791359325605901
card1,2803,0.011887314769581502
card1,2884,0.013426284533953009
card1,3154,0.06198526224534027
card1,3682,0.02932551319648094
card1,3821,0.027364663890541343
card1,4272,0.024193548387096774
card1,4436,0.008731381612737545
card1,4461,0.07408786299329859
card1,4663,0.008122743682310469
card1,4806,0.011611030478955007
card1,5033,0.038786482334869435
card1,5812,0.11142654364797729
card1,6019,0.043420469649977846
card1,6170,0.062157221206581355
card1,6174,0.03776978417266187
card1,6530,0.0029476787030213707
card1,6550,0.00422654268808115
card1,7207,0.026377036462373934
card1,7508,0.027507163323782235
card1,7585,0.04930633670791151
card1,7664,0.045487106017191976
card1,7676,0.006378802747791953
card1,7815,0.017005391953546247
card1,7826,0.025615435795076514
card1,7861,0.020187454938716654
card1,7919,0.007500669702652022
card1,8320,0.008358662613981762
card1,8406,0.01566820276497696
card1,8528,0.015758371634931056
card1,8695,0.03400174367916303
card1,8755,0.17927927927927928
card1,9002,0.11415094339622642
card1,9026,0.19123314065510597
card1,9112,0.014805414551607445
card1,9175,0.01970865467009426
card1,9300,0.047217537942664416
card1,9480,0.017126546146527116
card1,9500,0.03728286965117921
card1,9633,0.17845117845117844
card1,9803,0.06892067620286085
card1,9992,0.010342084327764518
card1,10023,0.01771004942339374
card1,10057,0.03853442830069488
card1,10112,0.009831460674157303
card1,10447,0.009813542688910697
card1,10486,0.0562874251497006
card1,10616,0.03905645784996133
card1,10989,0.0027649769585253456
card1,11106,0.02169811320754717
card1,11157,0.015098722415795587
card1,11201,0.08484408992023205
card1,11207,0.011643650148930408
card1,11839,0.0288659793814433
card1,12469,0.017363851617995266
card1,12501,0.021573604060913704
card1,12544,0.021556178945814262
card1,12577,0.00933932895191975
card1,12686,0.005351681957186544
card1,12695,0.02834579043858412
card1,12839,0.013647884577890427
card1,12932,0.03203203203203203
card1,13108,0.029585798816568046
card1,13249,0.014075067024128687
card1,13481,0.007789678675754625
card1,13780,0.0248015873015873
card1,13832,0.0950533462657614
card1,14290,0.021505376344086023
card1,14858,0.0
card1,15063,0.12648691514670896
